Dataset,adjusted_mutual_info_score_BIRCH,adjusted_mutual_info_score_DBSTREAM,adjusted_mutual_info_score_STREAM_KMEANS,adjusted_rand_index_BIRCH,adjusted_rand_index_DBSTREAM,adjusted_rand_index_STREAM_KMEANS,calinski_harabasz_score_BIRCH,calinski_harabasz_score_DBSTREAM,calinski_harabasz_score_STREAM_KMEANS,completeness_score_BIRCH,completeness_score_DBSTREAM,completeness_score_STREAM_KMEANS,davies_bouldin_score_BIRCH,davies_bouldin_score_DBSTREAM,davies_bouldin_score_STREAM_KMEANS,fowlkes_mallows_index_BIRCH,fowlkes_mallows_index_DBSTREAM,fowlkes_mallows_index_STREAM_KMEANS,homogeneity_score_BIRCH,homogeneity_score_DBSTREAM,homogeneity_score_STREAM_KMEANS,iCH_BIRCH,iCH_DBSTREAM,iCH_STREAM_KMEANS,iDB_BIRCH,iDB_DBSTREAM,iDB_STREAM_KMEANS,iGD43_BIRCH,iGD43_DBSTREAM,iGD43_STREAM_KMEANS,iGD53_BIRCH,iGD53_DBSTREAM,iGD53_STREAM_KMEANS,iPS_BIRCH,iPS_DBSTREAM,iPS_STREAM_KMEANS,iWB_BIRCH,iWB_DBSTREAM,iWB_STREAM_KMEANS,iXB_BIRCH,iXB_DBSTREAM,iXB_STREAM_KMEANS,icSIL_BIRCH,icSIL_DBSTREAM,icSIL_STREAM_KMEANS,irCIP_BIRCH,irCIP_DBSTREAM,irCIP_STREAM_KMEANS,jaccard_index_BIRCH,jaccard_index_DBSTREAM,jaccard_index_STREAM_KMEANS,normalized_mutual_info_score_BIRCH,normalized_mutual_info_score_DBSTREAM,normalized_mutual_info_score_STREAM_KMEANS,silhouette_score_BIRCH,silhouette_score_DBSTREAM,silhouette_score_STREAM_KMEANS,v_measure_score_BIRCH,v_measure_score_DBSTREAM,v_measure_score_STREAM_KMEANS
transformed_g2-4-70.csv_predicted_cvis,0.97,0.99,0.98,1.0,1.0,0.99,0.01,-0.37,-0.28,0.97,0.99,0.98,-0.41,-0.7,-0.59,0.99,1.0,1.0,0.97,0.99,0.99,-0.01,-0.41,-0.33,-0.37,-0.69,-0.53,-0.52,0.11,0.11,-0.74,-0.68,-0.41,-0.69,-0.83,-0.58,-0.27,-0.61,-0.49,-0.33,-0.67,-0.53,-0.82,-0.53,-0.39,-0.15,-0.29,-0.57,-0.91,1.0,0.98,0.97,0.99,0.99,-0.4,0.11,0.73,0.97,0.99,0.99
transformed_g2-2-10.csv_predicted_cvis,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
transformed_seeds.csv_predicted_cvis,0.86,0.19,0.8,0.84,0.71,0.8,0.25,-0.13,-0.39,0.23,-0.91,0.64,0.08,0.87,-0.32,0.77,-0.03,0.79,0.74,0.93,0.94,0.19,1.0,-0.5,0.07,0.94,-0.32,0.2,0.65,0.24,0.23,-0.3,-0.7,0.12,-0.01,-0.29,0.1,0.99,-0.35,0.03,0.97,-0.31,0.1,1.0,-0.31,0.22,0.72,-0.34,-0.45,-0.95,0.42,0.52,0.03,0.85,0.03,-0.83,0.38,0.52,0.03,0.85
transformed_iris.csv_predicted_cvis,0.73,0.58,0.83,0.87,0.63,0.88,-0.17,0.06,-0.12,0.17,0.67,0.34,0.12,0.31,0.26,0.81,0.57,0.84,0.92,0.7,0.98,-0.04,0.12,-0.09,0.01,0.26,0.09,0.24,-0.11,0.01,0.01,0.19,-0.05,0.48,0.55,0.21,0.23,0.15,0.29,0.13,0.28,0.19,0.54,0.44,0.48,-0.26,-0.1,0.14,-0.07,0.57,-0.37,0.94,0.71,0.86,0.2,0.25,0.28,0.94,0.71,0.86
transformed_g2-8-50.csv_predicted_cvis,0.99,1.0,0.99,1.0,1.0,1.0,-0.22,-0.41,0.01,0.99,1.0,0.99,-0.17,-0.27,-0.04,1.0,1.0,1.0,0.99,1.0,0.99,-0.21,-0.39,0.02,-0.41,-0.52,-0.3,-0.06,0.01,-0.14,-0.36,-0.44,-0.29,-0.44,-0.54,-0.37,-0.38,-0.5,-0.27,-0.41,-0.52,-0.3,-0.33,-0.39,-0.29,-0.72,-0.68,-0.68,-0.93,1.0,-1.0,0.99,1.0,0.99,-0.19,-0.12,-0.35,0.99,1.0,0.99
transformed_g2-4-50.csv_predicted_cvis,1.0,0.97,1.0,1.0,0.99,1.0,-0.67,-0.85,-0.85,1.0,0.94,1.0,-0.06,-0.71,-0.07,1.0,0.99,1.0,1.0,1.0,1.0,-0.65,-0.84,-0.84,-0.6,-0.9,-0.47,0.44,0.77,0.13,-0.62,-0.43,-0.61,-0.7,0.35,-0.59,-0.55,-0.71,-0.42,-0.59,-0.79,-0.47,-0.55,0.24,-0.5,-0.83,-0.91,-0.88,1.0,0.88,-0.86,1.0,0.97,1.0,-0.32,0.31,-0.27,1.0,0.97,1.0
transformed_g2-2-70.csv_predicted_cvis,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
transformed_g2-8-70.csv_predicted_cvis,1.0,0.93,0.99,1.0,1.0,1.0,-0.73,0.28,-0.48,1.0,0.87,0.99,-0.34,-0.52,-0.32,1.0,1.0,1.0,1.0,0.95,0.98,-0.72,0.35,-0.48,-0.76,-0.26,-0.71,0.05,-0.36,0.08,-0.71,-0.39,-0.66,-0.75,-0.58,-0.71,-0.73,0.14,-0.68,-0.76,0.12,-0.7,-0.4,-0.59,-0.43,-0.84,0.35,-0.68,-0.72,0.99,-0.77,1.0,0.92,0.98,-0.34,-0.39,-0.39,1.0,0.92,0.98
transformed_s1.csv_predicted_cvis,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
transformed_g2-2-90.csv_predicted_cvis,0.95,--,0.96,0.98,--,0.98,0.2,--,0.37,0.97,--,0.96,0.14,--,0.3,0.97,--,0.97,0.95,--,0.94,0.21,--,0.38,-0.39,--,-0.16,0.63,--,0.32,-0.25,--,0.03,-0.46,--,-0.29,-0.4,--,-0.2,-0.4,--,-0.19,-0.58,--,-0.3,-0.4,--,-0.14,-0.76,--,-0.73,0.96,--,0.95,-0.57,--,-0.49,0.96,--,0.95
