Dataset,calinski_harabasz_score_BIRCH,calinski_harabasz_score_DBSTREAM,calinski_harabasz_score_STREAM_KMEANS,davies_bouldin_score_BIRCH,davies_bouldin_score_DBSTREAM,davies_bouldin_score_STREAM_KMEANS,iCH_BIRCH,iCH_DBSTREAM,iCH_STREAM_KMEANS,iDB_BIRCH,iDB_DBSTREAM,iDB_STREAM_KMEANS,iGD43_BIRCH,iGD43_DBSTREAM,iGD43_STREAM_KMEANS,iGD53_BIRCH,iGD53_DBSTREAM,iGD53_STREAM_KMEANS,iPS_BIRCH,iPS_DBSTREAM,iPS_STREAM_KMEANS,iWB_BIRCH,iWB_DBSTREAM,iWB_STREAM_KMEANS,iXB_BIRCH,iXB_DBSTREAM,iXB_STREAM_KMEANS,icSIL_BIRCH,icSIL_DBSTREAM,icSIL_STREAM_KMEANS,irCIP_BIRCH,irCIP_DBSTREAM,irCIP_STREAM_KMEANS,silhouette_score_BIRCH,silhouette_score_DBSTREAM,silhouette_score_STREAM_KMEANS
transformed_g2-8-30_mild_gaussian-noise.csv_predicted_cvis,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
transformed_s3_mild_knock-out.csv_predicted_cvis,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
transformed_iris_mild_gaussian-noise.csv_predicted_cvis,0.72,-0.36,-0.4,0.48,-0.43,-0.17,0.66,-0.29,-0.29,0.56,-0.36,-0.44,-0.32,0.57,0.48,0.56,0.33,-0.21,0.15,0.51,-0.38,0.37,-0.52,-0.33,0.51,-0.36,-0.39,0.23,-0.14,-0.04,0.69,-0.38,0.05,0.15,0.0,-0.22
transformed_human-activity-recognition_mild_gaussian-noise.csv_predicted_cvis,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
transformed_s4_mild_knock-out.csv_predicted_cvis,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
transformed_g2-4-50_mild_gaussian-noise.csv_predicted_cvis,0.08,-0.7,-0.16,-0.24,-0.84,-0.26,0.07,-0.72,-0.16,-0.46,-0.84,-0.28,0.02,0.86,-0.08,-0.46,-0.86,-0.34,-0.5,0.43,-0.33,-0.39,-0.85,-0.24,-0.41,-0.88,-0.25,-0.54,0.09,-0.36,-0.5,-0.91,-0.07,-0.29,-0.23,-0.12
transformed_g2-8-50_mild_gaussian-noise.csv_predicted_cvis,0.22,0.4,0.51,-0.08,-0.03,0.16,0.22,0.4,0.51,-0.08,-0.01,0.19,0.13,0.12,-0.1,-0.13,-0.07,0.12,-0.25,-0.23,-0.05,-0.07,-0.01,0.19,-0.08,-0.01,0.19,-0.32,-0.34,-0.28,0.21,0.42,0.51,-0.03,-0.09,-0.27
transformed_g2-8-10_mild_gaussian-noise.csv_predicted_cvis,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
transformed_wine_mild_knock-out.csv_predicted_cvis,-0.65,-0.73,-0.36,-0.6,-0.54,-0.25,-0.71,-0.72,-0.37,-0.68,-0.72,-0.34,0.66,0.27,0.32,-0.58,-0.59,-0.27,-0.6,-0.13,-0.29,-0.58,-0.71,-0.28,-0.7,-0.73,-0.36,-0.13,-0.59,-0.04,-0.86,-0.29,-0.36,0.15,-0.04,0.02
transformed_g2-4-30_mild_knock-out.csv_predicted_cvis,--,--,-0.59,--,--,-0.03,--,--,-0.6,--,--,-0.2,--,--,-0.19,--,--,-0.26,--,--,-0.17,--,--,-0.13,--,--,-0.19,--,--,-0.13,--,--,-0.64,--,--,-0.02
transformed_g2-2-70_mild_knock-out.csv_predicted_cvis,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
transformed_g2-2-50_mild_knock-out.csv_predicted_cvis,-0.79,0.1,-0.91,-0.14,-0.25,0.13,-0.8,0.08,-0.92,-0.2,-0.55,-0.04,-0.09,-0.33,-0.37,-0.57,-0.38,-0.7,-0.59,-0.63,-0.7,-0.14,-0.37,0.04,-0.2,-0.46,-0.05,-0.62,-0.31,-0.69,0.16,-0.49,0.44,-0.14,-0.14,-0.39
transformed_s1_mild_knock-out.csv_predicted_cvis,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
transformed_g2-4-90_mild_knock-out.csv_predicted_cvis,0.17,--,0.01,-0.89,--,-0.84,0.16,--,-0.01,-0.54,--,-0.65,0.56,--,0.63,-0.54,--,-0.6,-0.56,--,-0.68,-0.55,--,-0.65,-0.55,--,-0.64,-0.27,--,-0.15,-0.83,--,-0.83,0.82,--,0.73
transformed_g2-4-70_mild_gaussian-noise.csv_predicted_cvis,0.05,0.66,0.25,-0.82,-0.52,-0.84,0.03,0.64,0.23,-0.6,0.07,-0.45,0.39,-0.02,0.38,-0.73,0.09,-0.51,-0.82,-0.08,-0.64,-0.57,0.07,-0.44,-0.58,0.09,-0.45,-0.39,-0.55,-0.33,-0.48,0.08,-0.31,0.36,0.33,0.61
transformed_g2-4-50_mild_knock-out.csv_predicted_cvis,-0.68,-0.87,-0.85,-0.07,-0.73,-0.09,-0.65,-0.85,-0.84,-0.6,-0.91,-0.48,0.43,0.77,0.13,-0.63,-0.47,-0.62,-0.72,0.47,-0.62,-0.56,-0.71,-0.43,-0.6,-0.8,-0.47,-0.56,0.23,-0.51,-0.83,-0.92,-0.88,-0.31,0.29,-0.26
transformed_g2-4-70_mild_knock-out.csv_predicted_cvis,-0.02,-0.35,-0.42,-0.39,-0.65,-0.63,-0.03,-0.38,-0.47,-0.36,-0.65,-0.62,-0.52,0.01,0.04,-0.72,-0.66,-0.51,-0.68,-0.83,-0.62,-0.25,-0.54,-0.57,-0.31,-0.62,-0.61,-0.81,-0.57,-0.4,-0.05,-0.15,-0.62,-0.38,0.06,0.7
transformed_human-activity-recognition_mild_knock-out.csv_predicted_cvis,-0.74,-0.21,--,-0.8,0.09,--,-0.75,-0.02,--,-0.88,0.02,--,0.82,-0.34,--,-0.77,0.3,--,0.52,-0.77,--,-0.88,0.06,--,-0.89,0.18,--,-0.71,-0.31,--,-0.58,0.23,--,0.59,-0.38,--
transformed_fashion-mnist_mild_gaussian-noise.csv_predicted_cvis,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
transformed_s2_mild_knock-out.csv_predicted_cvis,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
transformed_g2-8-10_mild_knock-out.csv_predicted_cvis,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
transformed_g2-2-30_mild_gaussian-noise.csv_predicted_cvis,-0.69,-0.45,0.45,-0.45,-0.47,0.69,-0.69,-0.45,0.43,-0.53,-0.66,0.45,0.53,0.67,0.64,-0.42,-0.57,0.59,-0.43,-0.6,0.54,-0.53,-0.66,0.12,-0.53,-0.66,0.28,-0.25,-0.44,0.59,-0.66,-0.73,-0.69,0.35,0.36,0.7
transformed_fashion-mnist_mild_knock-out.csv_predicted_cvis,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
transformed_u1_mild_knock-out.csv_predicted_cvis,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
transformed_g2-8-70_mild_knock-out.csv_predicted_cvis,-0.73,-0.06,-0.27,-0.41,-0.53,-0.37,-0.73,-0.01,-0.27,-0.79,-0.57,-0.65,0.21,-0.09,0.19,-0.71,-0.66,-0.58,-0.76,-0.76,-0.62,-0.78,-0.18,-0.63,-0.79,-0.2,-0.64,-0.37,-0.67,-0.38,-0.82,0.08,-0.45,-0.22,-0.19,-0.27
transformed_g2-4-10_mild_gaussian-noise.csv_predicted_cvis,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
transformed_g2-2-10_mild_knock-out.csv_predicted_cvis,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
transformed_g2-4-10_mild_knock-out.csv_predicted_cvis,--,--,-0.09,--,--,-0.94,--,--,-0.12,--,--,-0.64,--,--,0.54,--,--,-0.68,--,--,-0.68,--,--,-0.65,--,--,-0.64,--,--,-0.7,--,--,-0.4,--,--,0.71
transformed_u1_mild_gaussian-noise.csv_predicted_cvis,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
transformed_s3_mild_gaussian-noise.csv_predicted_cvis,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
transformed_g2-4-90_mild_gaussian-noise.csv_predicted_cvis,0.11,--,-0.18,-0.47,--,-0.7,0.1,--,-0.18,-0.05,--,-0.42,0.19,--,0.53,-0.16,--,-0.42,-0.29,--,-0.58,-0.07,--,-0.42,-0.06,--,-0.41,-0.62,--,-0.35,-0.52,--,-0.43,0.76,--,0.59
transformed_g2-2-70_mild_gaussian-noise.csv_predicted_cvis,-0.45,-0.75,-0.74,-0.05,0.16,-0.15,-0.45,-0.76,-0.74,-0.83,-0.77,-0.74,0.21,-0.07,-0.09,-0.83,-0.9,-0.89,-0.77,-0.91,-0.84,-0.71,-0.53,-0.64,-0.78,-0.67,-0.69,-0.84,-0.8,-0.74,-0.67,-0.89,-0.69,-0.67,-0.69,-0.53
transformed_s2_mild_gaussian-noise.csv_predicted_cvis,0.84,--,0.94,-0.81,--,-0.94,-0.27,--,-0.17,-0.79,--,-0.68,0.58,--,0.44,0.59,--,0.75,0.82,--,0.06,-0.92,--,-0.76,-0.9,--,-0.65,-0.59,--,0.79,-0.44,--,-0.75,0.26,--,0.49
transformed_g2-8-90_mild_knock-out.csv_predicted_cvis,-0.11,0.51,-0.83,0.2,0.31,-0.68,-0.11,0.4,-0.83,0.44,0.27,-0.76,-0.67,0.21,-0.08,0.31,0.22,-0.69,0.48,0.22,-0.61,0.44,0.29,-0.78,0.44,0.23,-0.77,-0.04,0.2,-0.16,0.68,-0.09,-0.77,0.15,0.75,0.1
transformed_mnist_mild_gaussian-noise.csv_predicted_cvis,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
transformed_mnist_mild_knock-out.csv_predicted_cvis,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
transformed_iris_mild_knock-out.csv_predicted_cvis,-0.22,0.02,-0.13,0.06,0.26,0.24,-0.08,0.07,-0.07,-0.03,0.22,0.0,0.28,-0.07,-0.03,-0.04,0.18,-0.09,0.46,0.58,0.36,0.18,0.1,0.35,0.08,0.23,0.16,0.5,0.4,0.61,-0.3,-0.17,-0.43,0.22,0.25,0.4
transformed_g2-4-30_mild_gaussian-noise.csv_predicted_cvis,--,-0.78,-0.78,--,-0.02,-0.02,--,-0.78,-0.78,--,-0.24,-0.24,--,-0.28,-0.28,--,-0.36,-0.36,--,-0.3,-0.3,--,-0.25,-0.25,--,-0.27,-0.27,--,-0.2,-0.2,--,-0.51,-0.51,--,-0.07,-0.07
transformed_seeds_mild_gaussian-noise.csv_predicted_cvis,0.86,0.46,0.21,-0.01,0.06,0.31,0.84,0.46,0.0,0.64,0.26,-0.34,-0.56,0.05,0.3,0.68,0.14,-0.44,0.63,0.54,-0.43,0.47,0.24,-0.28,0.52,0.25,-0.24,0.38,0.52,-0.31,0.82,0.35,-0.04,0.74,0.08,0.13
transformed_g2-2-50_mild_gaussian-noise.csv_predicted_cvis,-0.68,--,-0.77,-0.09,--,-0.18,-0.67,--,-0.76,-0.1,--,-0.3,-0.44,--,-0.27,-0.45,--,-0.61,-0.17,--,-0.27,-0.1,--,-0.32,-0.1,--,-0.32,-0.1,--,-0.18,-0.16,--,-0.3,0.05,--,0.15
transformed_g2-8-30_mild_knock-out.csv_predicted_cvis,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
transformed_wine_mild_gaussian-noise.csv_predicted_cvis,--,-0.09,--,--,0.04,--,--,0.2,--,--,0.12,--,--,-0.11,--,--,-0.35,--,--,-0.23,--,--,0.03,--,--,0.13,--,--,0.0,--,--,0.17,--,--,-0.41,--
