Dataset,adjusted_mutual_info_score_BIRCH,adjusted_mutual_info_score_DBSTREAM,adjusted_mutual_info_score_STREAM_KMEANS,adjusted_rand_index_BIRCH,adjusted_rand_index_DBSTREAM,adjusted_rand_index_STREAM_KMEANS,completeness_score_BIRCH,completeness_score_DBSTREAM,completeness_score_STREAM_KMEANS,fowlkes_mallows_index_BIRCH,fowlkes_mallows_index_DBSTREAM,fowlkes_mallows_index_STREAM_KMEANS,homogeneity_score_BIRCH,homogeneity_score_DBSTREAM,homogeneity_score_STREAM_KMEANS,jaccard_index_BIRCH,jaccard_index_DBSTREAM,jaccard_index_STREAM_KMEANS,normalized_mutual_info_score_BIRCH,normalized_mutual_info_score_DBSTREAM,normalized_mutual_info_score_STREAM_KMEANS,v_measure_score_BIRCH,v_measure_score_DBSTREAM,v_measure_score_STREAM_KMEANS
transformed_g2-4-90_severe_knock-out.csv_predicted_cvis,-0.44,--,-0.57,-0.42,--,-0.59,-0.45,--,-0.57,-0.05,--,-0.04,-0.03,--,0.01,-0.53,--,-0.08,-0.4,--,-0.47,-0.4,--,-0.47
transformed_g2-8-10_severe_knock-out.csv_predicted_cvis,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
transformed_g2-8-90_severe_gaussian-noise.csv_predicted_cvis,--,0.58,1.0,--,0.97,1.0,--,0.87,1.0,--,0.03,1.0,--,0.6,1.0,--,--,-0.88,--,0.61,1.0,--,0.61,1.0
transformed_iris_severe_knock-out.csv_predicted_cvis,0.16,-0.09,0.9,0.85,-0.07,0.97,0.25,-0.22,0.99,0.9,0.32,0.98,0.15,-0.14,0.92,0.17,-0.25,--,0.17,-0.15,0.98,0.17,-0.15,0.98
transformed_g2-2-70_severe_gaussian-noise.csv_predicted_cvis,0.96,1.0,0.99,1.0,1.0,0.99,0.94,1.0,0.97,1.0,1.0,0.98,0.96,1.0,0.97,-0.27,0.98,-0.91,0.95,1.0,0.97,0.95,1.0,0.97
transformed_g2-4-90_severe_gaussian-noise.csv_predicted_cvis,0.99,--,1.0,0.99,--,1.0,1.0,--,1.0,0.98,--,0.99,1.0,--,1.0,0.96,--,0.98,1.0,--,1.0,1.0,--,1.0
transformed_g2-2-70_severe_knock-out.csv_predicted_cvis,-0.13,--,0.28,-0.22,--,0.05,-0.13,--,0.23,0.24,--,0.54,0.4,--,0.57,-0.69,--,-0.9,0.03,--,0.31,0.03,--,0.31
transformed_g2-4-70_severe_gaussian-noise.csv_predicted_cvis,0.98,0.99,0.98,1.0,0.99,1.0,0.98,0.99,0.98,0.99,0.98,0.99,0.99,0.99,0.98,-0.8,0.94,-0.63,0.98,0.99,0.98,0.98,0.99,0.98
transformed_iris_severe_gaussian-noise.csv_predicted_cvis,0.5,0.15,0.51,0.62,0.05,0.57,0.52,0.52,0.73,0.78,0.07,0.58,0.46,0.4,0.81,0.72,-0.08,-0.17,0.68,0.54,0.75,0.68,0.54,0.75
transformed_mnist_severe_gaussian-noise.csv_predicted_cvis,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
transformed_s3_severe_knock-out.csv_predicted_cvis,--,--,0.8,--,--,0.87,--,--,0.68,--,--,0.71,--,--,1.0,--,--,-0.97,--,--,0.95,--,--,0.95
transformed_g2-8-30_severe_knock-out.csv_predicted_cvis,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
transformed_wine_severe_knock-out.csv_predicted_cvis,0.96,0.64,--,1.0,0.54,--,0.92,0.45,--,1.0,0.64,--,0.97,0.93,--,-1.0,0.78,--,0.96,0.68,--,0.92,0.68,--
transformed_g2-4-30_severe_knock-out.csv_predicted_cvis,--,--,0.92,--,--,1.0,--,--,0.92,--,--,1.0,--,--,0.92,--,--,--,--,--,0.92,--,--,0.92
