Dataset,adjusted_mutual_info_score_BIRCH,adjusted_mutual_info_score_DBSTREAM,adjusted_mutual_info_score_STREAM_KMEANS,adjusted_rand_index_BIRCH,adjusted_rand_index_DBSTREAM,adjusted_rand_index_STREAM_KMEANS,completeness_score_BIRCH,completeness_score_DBSTREAM,completeness_score_STREAM_KMEANS,fowlkes_mallows_index_BIRCH,fowlkes_mallows_index_DBSTREAM,fowlkes_mallows_index_STREAM_KMEANS,homogeneity_score_BIRCH,homogeneity_score_DBSTREAM,homogeneity_score_STREAM_KMEANS,jaccard_index_BIRCH,jaccard_index_DBSTREAM,jaccard_index_STREAM_KMEANS,normalized_mutual_info_score_BIRCH,normalized_mutual_info_score_DBSTREAM,normalized_mutual_info_score_STREAM_KMEANS,v_measure_score_BIRCH,v_measure_score_DBSTREAM,v_measure_score_STREAM_KMEANS
transformed_g2-4-50_mild_gaussian-noise.csv_predicted_cvis,0.97,0.95,0.97,1.0,0.93,1.0,0.97,0.89,0.96,1.0,0.92,1.0,0.97,0.99,0.97,0.99,0.9,-0.24,0.97,0.96,0.97,0.97,0.96,0.97
transformed_g2-8-50_mild_gaussian-noise.csv_predicted_cvis,0.97,0.99,0.99,1.0,1.0,1.0,0.97,0.99,0.99,1.0,1.0,1.0,0.97,0.99,0.99,-0.91,1.0,1.0,0.97,0.99,0.99,0.97,0.99,0.99
transformed_g2-8-10_mild_gaussian-noise.csv_predicted_cvis,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
transformed_wine_mild_knock-out.csv_predicted_cvis,1.0,0.17,1.0,1.0,0.43,1.0,1.0,0.36,1.0,1.0,0.48,1.0,1.0,0.87,1.0,-1.0,0.58,0.3,1.0,0.75,1.0,1.0,0.75,1.0
transformed_g2-4-30_mild_knock-out.csv_predicted_cvis,--,--,1.0,--,--,1.0,--,--,1.0,--,--,1.0,--,--,1.0,--,--,1.0,--,--,1.0,--,--,1.0
transformed_g2-2-70_mild_knock-out.csv_predicted_cvis,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
transformed_g2-2-50_mild_knock-out.csv_predicted_cvis,0.98,-0.09,0.99,1.0,0.11,1.0,0.98,-0.1,0.99,1.0,-0.09,1.0,0.99,0.79,0.99,1.0,0.86,-0.93,0.98,0.08,0.99,0.98,0.08,0.99
transformed_s1_mild_knock-out.csv_predicted_cvis,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
transformed_g2-4-90_mild_knock-out.csv_predicted_cvis,0.98,--,0.97,0.99,--,1.0,0.97,--,0.97,0.99,--,0.99,0.97,--,0.97,0.99,--,-0.64,0.98,--,0.97,0.98,--,0.97
transformed_g2-4-70_mild_gaussian-noise.csv_predicted_cvis,0.98,0.97,0.98,1.0,0.99,1.0,0.98,0.95,0.97,0.99,0.99,0.99,0.98,0.97,0.98,-0.89,0.95,0.99,0.98,0.96,0.98,0.98,0.96,0.98
transformed_g2-4-50_mild_knock-out.csv_predicted_cvis,1.0,0.97,1.0,1.0,0.98,1.0,1.0,0.94,1.0,1.0,0.98,1.0,1.0,0.99,1.0,1.0,0.88,-0.86,1.0,0.97,1.0,1.0,0.97,1.0
transformed_g2-4-70_mild_knock-out.csv_predicted_cvis,0.97,0.99,0.98,1.0,1.0,0.99,0.96,0.99,0.98,0.99,1.0,1.0,0.97,0.99,0.99,-0.88,1.0,0.98,0.96,0.99,0.99,0.96,0.99,0.99
transformed_human-activity-recognition_mild_knock-out.csv_predicted_cvis,0.79,0.86,--,0.92,0.82,--,0.9,-0.05,--,0.91,0.8,--,0.96,0.95,--,0.35,--,--,0.94,0.37,--,0.94,0.37,--
transformed_fashion-mnist_mild_gaussian-noise.csv_predicted_cvis,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
transformed_s2_mild_knock-out.csv_predicted_cvis,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
transformed_g2-8-10_mild_knock-out.csv_predicted_cvis,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
transformed_g2-2-30_mild_gaussian-noise.csv_predicted_cvis,1.0,1.0,0.91,1.0,1.0,0.92,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.87,1.0,1.0,--,1.0,1.0,0.93,1.0,1.0,0.93
transformed_fashion-mnist_mild_knock-out.csv_predicted_cvis,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
transformed_u1_mild_knock-out.csv_predicted_cvis,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
transformed_g2-8-70_mild_knock-out.csv_predicted_cvis,1.0,0.94,0.97,1.0,1.0,1.0,1.0,0.89,0.97,1.0,0.99,1.0,1.0,0.96,0.97,-0.72,0.98,-0.88,1.0,0.93,0.97,1.0,0.93,0.97
transformed_g2-4-10_mild_gaussian-noise.csv_predicted_cvis,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
transformed_g2-2-10_mild_knock-out.csv_predicted_cvis,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
transformed_g2-4-10_mild_knock-out.csv_predicted_cvis,--,--,0.99,--,--,1.0,--,--,0.99,--,--,0.99,--,--,0.99,--,--,--,--,--,0.99,--,--,0.99
transformed_u1_mild_gaussian-noise.csv_predicted_cvis,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
transformed_s3_mild_gaussian-noise.csv_predicted_cvis,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
transformed_g2-4-90_mild_gaussian-noise.csv_predicted_cvis,0.98,--,0.97,0.99,--,0.99,0.97,--,0.97,0.98,--,0.98,0.97,--,0.97,0.95,--,-0.67,0.97,--,0.97,0.97,--,0.97
transformed_g2-2-70_mild_gaussian-noise.csv_predicted_cvis,0.98,0.98,0.98,0.99,1.0,0.99,0.98,0.98,0.98,0.99,0.99,0.99,0.98,0.98,0.98,-0.67,0.99,-0.84,0.98,0.98,0.98,0.98,0.98,0.98
transformed_s2_mild_gaussian-noise.csv_predicted_cvis,1.0,--,0.98,1.0,--,0.98,-0.42,--,-0.21,1.0,--,0.98,1.0,--,0.99,-0.37,--,--,1.0,--,0.99,1.0,--,0.99
transformed_g2-8-90_mild_knock-out.csv_predicted_cvis,0.89,0.65,0.99,0.88,0.96,1.0,0.86,0.83,0.99,0.91,-0.27,1.0,0.94,0.63,0.99,0.95,--,1.0,0.86,0.64,0.99,0.86,0.64,0.99
transformed_mnist_mild_gaussian-noise.csv_predicted_cvis,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
transformed_mnist_mild_knock-out.csv_predicted_cvis,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
transformed_iris_mild_knock-out.csv_predicted_cvis,0.72,0.56,0.93,0.87,0.62,0.94,0.2,0.67,0.6,0.82,0.55,0.91,0.93,0.69,0.98,-0.04,0.55,--,0.94,0.71,0.93,0.94,0.71,0.93
transformed_g2-4-30_mild_gaussian-noise.csv_predicted_cvis,--,1.0,1.0,--,1.0,1.0,--,1.0,1.0,--,1.0,1.0,--,1.0,1.0,--,1.0,--,--,1.0,1.0,--,1.0,1.0
transformed_seeds_mild_gaussian-noise.csv_predicted_cvis,0.57,0.53,-0.02,0.65,0.58,0.16,0.64,0.74,0.13,0.74,0.46,0.18,0.73,0.88,0.54,-0.8,-0.21,--,0.68,0.81,0.29,0.68,0.81,0.29
transformed_g2-2-50_mild_gaussian-noise.csv_predicted_cvis,0.99,--,0.99,1.0,--,1.0,0.98,--,0.98,0.99,--,0.99,0.97,--,0.98,1.0,--,-0.84,0.98,--,0.98,0.98,--,0.98
transformed_g2-8-30_mild_knock-out.csv_predicted_cvis,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
transformed_wine_mild_gaussian-noise.csv_predicted_cvis,--,0.63,--,--,0.66,--,--,0.05,--,--,0.29,--,--,0.7,--,--,0.26,--,--,0.72,--,--,0.72,--
